date_time_dept,Month,Departure Terminal,TotalVehicles,TotalPassengers,TotalOL
07:35:00,May,Gabriola Is (Descanso Bay),1047,3136,84
07:35:00,May,Nanaimo Harbour,559,751,16
07:35:00,Jun,Gabriola Is (Descanso Bay),993,2829,43
07:35:00,Jun,Nanaimo Harbour,687,981,24
07:35:00,Jul,Gabriola Is (Descanso Bay),932,1643,39
07:35:00,Jul,Nanaimo Harbour,627,942,26
07:35:00,Aug,Gabriola Is (Descanso Bay),897,1562,18
07:35:00,Aug,Nanaimo Harbour,597,881,19
07:35:00,Sep,Gabriola Is (Descanso Bay),921,2728,55
07:35:00,Sep,Nanaimo Harbour,555,761,23
07:35:00,Oct,Gabriola Is (Descanso Bay),814,2492,25
07:35:00,Oct,Nanaimo Harbour,562,780,0
08:09:59,May,Gabriola Is (Descanso Bay),1095,1859,64
08:09:59,May,Nanaimo Harbour,713,1119,56
08:09:59,Jun,Gabriola Is (Descanso Bay),1160,1896,135
08:09:59,Jun,Nanaimo Harbour,704,1125,3
08:09:59,Jul,Gabriola Is (Descanso Bay),1120,1888,62
08:09:59,Jul,Nanaimo Harbour,724,1254,28
08:09:59,Aug,Gabriola Is (Descanso Bay),1179,2099,63
08:09:59,Aug,Nanaimo Harbour,733,1240,5
08:09:59,Sep,Gabriola Is (Descanso Bay),1015,1669,69
08:09:59,Sep,Nanaimo Harbour,654,1048,23
08:09:59,Oct,Gabriola Is (Descanso Bay),1015,1681,8
08:09:59,Oct,Nanaimo Harbour,672,1017,0
08:45:00,May,Gabriola Is (Descanso Bay),1235,2053,183
08:45:00,May,Nanaimo Harbour,708,1119,0
08:45:00,Jun,Gabriola Is (Descanso Bay),1211,1939,152
08:45:00,Jun,Nanaimo Harbour,776,1298,44
08:45:00,Jul,Gabriola Is (Descanso Bay),1270,2166,214
08:45:00,Jul,Nanaimo Harbour,754,1419,18
08:45:00,Aug,Gabriola Is (Descanso Bay),1255,2268,167
08:45:00,Aug,Nanaimo Harbour,789,1422,28
08:45:00,Sep,Gabriola Is (Descanso Bay),1145,2133,90
08:45:00,Sep,Nanaimo Harbour,661,1088,20
08:45:00,Oct,Gabriola Is (Descanso Bay),1131,1887,96
08:45:00,Oct,Nanaimo Harbour,644,998,0
16:35:00,May,Gabriola Is (Descanso Bay),820,1623,0
16:35:00,May,Nanaimo Harbour,1145,2235,143
16:35:00,Jun,Gabriola Is (Descanso Bay),932,1943,30
16:35:00,Jun,Nanaimo Harbour,1199,2338,221
16:35:00,Jul,Gabriola Is (Descanso Bay),1021,2351,58
16:35:00,Jul,Nanaimo Harbour,1178,2555,250
16:35:00,Aug,Gabriola Is (Descanso Bay),1074,2361,94
16:35:00,Aug,Nanaimo Harbour,1267,2741,371
16:35:00,Sep,Gabriola Is (Descanso Bay),835,1650,5
16:35:00,Sep,Nanaimo Harbour,1104,2185,98
16:35:00,Oct,Gabriola Is (Descanso Bay),855,1614,0
16:35:00,Oct,Nanaimo Harbour,1190,2299,126
17:05:00,May,Gabriola Is (Descanso Bay),555,1133,0
17:05:00,May,Nanaimo Harbour,1188,2207,97
17:05:00,Jun,Gabriola Is (Descanso Bay),579,1205,0
17:05:00,Jun,Nanaimo Harbour,1210,2326,136
17:05:00,Jul,Gabriola Is (Descanso Bay),687,1449,26
17:05:00,Jul,Nanaimo Harbour,1173,2375,257
17:05:00,Aug,Gabriola Is (Descanso Bay),681,1560,20
17:05:00,Aug,Nanaimo Harbour,1187,2396,219
17:05:00,Sep,Gabriola Is (Descanso Bay),525,1069,0
17:05:00,Sep,Nanaimo Harbour,1059,1993,110
17:05:00,Oct,Gabriola Is (Descanso Bay),475,952,0
17:05:00,Oct,Nanaimo Harbour,1141,2131,137
18:14:59,May,Nanaimo Harbour,1448,2958,260
18:14:59,Jun,Nanaimo Harbour,1397,2930,244
18:14:59,Jul,Nanaimo Harbour,1415,3171,358
18:14:59,Aug,Nanaimo Harbour,1404,3218,316
18:14:59,Sep,Nanaimo Harbour,1373,2794,203
18:14:59,Oct,Nanaimo Harbour,1402,2827,220
